0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-5.547825764214845e-12-1.1057584831857194e-12j),(-5.037452306813957e-13+1.867815286609283e-11j),(-2.548143470181183e-11-3.6069472000247944e-11j),(3.887546185111254e-13-4.789836350834401e-12j),(6.782208331410377e-11+1.1630403482086031e-10j),(3.500948780754936e-11-2.6236710494849546e-11j),(2.9721774335009995e-11-1.1432949216206557e-10j),(8.766285907174071e-13-5.4582151034265105e-11j),(7.231188598939713e-11-5.0816546738084415e-11j),(5.4947695457491864e-12-6.292966147266585e-11j),(-3.473809536856685e-11+1.2140539782751083e-11j),(2.394317378353085e-10+1.7682115573838328e-10j),(2.3518833492760582e-11+1.2188335986434761e-11j),(2.7301574643458583e-11-1.157203252036089e-12j),(-1.3166577117044564e-11+6.3816749283527785e-12j),(-1.0708295526565797e-11+4.770471591212179e-11j)
(2.6351457869342037e-12-3.0812132832721295e-12j),(2.7208566636417636e-12+1.9809767704455947e-11j),(-6.411289115622435e-13+9.487850478307031e-12j),(-7.009927445347568e-12+1.017378072964529e-11j),(2.4760196981308385e-11+2.6588614605177072e-11j),(-3.63435096489763e-13-4.261402495858384e-12j),(-9.405195274926577e-12-7.60768403849075e-12j),(-6.903632580157916e-12+1.0738426593900735e-11j),(1.609792710633027e-10-1.234631885815256e-10j),(-2.480920177220353e-11+3.937920708179394e-11j),(4.04232440042431e-11+4.408014006139992e-12j),(4.0587660512538173e-10+2.8909804399988326e-10j),(-2.8654188964880797e-11-6.47306540483649e-11j),(-5.386595669498687e-11-1.306872259927386e-10j),(3.588096279996881e-11+7.270786172646734e-11j),(8.327558107763143e-11+2.248334941515634e-10j)
(9.809824952501532e-12-3.990800579328663e-12j),(4.8611049904238016e-12+1.5500503444758547e-11j),(2.435735738101834e-11+5.285895270897964e-11j),(-1.3666734591978712e-11+2.4048848392642165e-11j),(-2.3718166769700902e-11-6.856395823133132e-11j),(-3.55761935908885e-11+1.8841920233835325e-11j),(-4.679932446600695e-11+1.0058467827551963e-10j),(-1.3627816563533987e-11+7.424148288604467e-11j),(2.375840284231209e-10-1.8499587526128421e-10j),(-5.16724089120614e-11+1.3528794504909943e-10j),(1.0969014392200239e-10-3.608248521600915e-12j),(5.432395499941988e-10+3.8320442117955224e-10j),(-7.679442193906682e-11-1.3360802402751514e-10j),(-1.2758849959666635e-10-2.449686787134427e-10j),(8.016706436502854e-11+1.3104186652694116e-10j),(1.6712277069804474e-10+3.78551162784791e-10j)
(1.3490083228491331e-11-3.1620898111338214e-12j),(5.330188852021615e-12+7.251568875866665e-12j),(4.187109347769343e-11+8.298004729912931e-11j),(-1.8744503543884626e-11+3.480269017437218e-11j),(-6.670908851000411e-11-1.498080790335676e-10j),(-6.341767986724332e-11+3.8028386638245344e-11j),(-7.662857944988578e-11+1.9012040665674325e-10j),(-1.8705403087181565e-11+1.247592577440415e-10j),(2.9446380636228016e-10-2.3042610605319938e-10j),(-7.211844362496554e-11+2.1094842333906783e-10j),(1.6349501755515688e-10-1.0192753268512094e-11j),(6.424745632051393e-10+4.5214096252441103e-10j),(-1.139362072418058e-10-1.8637278294577465e-10j),(-1.8439392281819934e-10-3.315593461015313e-10j),(1.1435259974145463e-10+1.7478363257384002e-10j),(2.3053744810020297e-10+4.9367665024739e-10j)
(1.2783933845187648e-11-7.045379336883934e-13j),(4.135040522251921e-12-2.8380212125571885e-12j),(4.7196417576159455e-11+9.245439808631957e-11j),(-2.1634288774744267e-11+4.096207626994419e-11j),(-9.419494609909041e-11-2.007004551176998e-10j),(-7.923920383842882e-11+4.874033072997784e-11j),(-9.472448972597129e-11+2.449770704133261e-10j),(-2.1493210921632143e-11+1.5393006833417116e-10j),(3.2641318175510475e-10-2.5562850913271096e-10j),(-8.382398322571765e-11+2.5453929081161423e-10j),(1.9438369424460442e-10-1.406947537696216e-11j),(6.968349612896325e-10+4.906124331968528e-10j),(-1.3547925148267301e-10-2.164822021273909e-10j),(-2.1704803377532552e-10-3.805864540536112e-10j),(1.3410958011909651e-10+1.99482092792057e-10j),(2.6634878411490737e-10+5.582605407619248e-10j)
(7.388222843714174e-12+2.169558466954471e-12j),(2.324987343055587e-12-1.1829773244678018e-11j),(3.8881862042509117e-11+7.901442181945082e-11j),(-2.2096318743686475e-11+4.19498036699874e-11j),(-1.0003769754761292e-10-2.104248542376474e-10j),(-7.939204831420354e-11+4.882218020855065e-11j),(-9.776038478940212e-11+2.54999070832037e-10j),(-2.2031556711977676e-11+1.5651110133897685e-10j),(3.2988764955392694e-10-2.590519578286189e-10j),(-8.528996150733999e-11+2.601378316316461e-10j),(1.9767442638257389e-10-1.4414143166375745e-11j),(7.030996692996831e-10+4.950086121697334e-10j),(-1.3805556415629431e-10-2.20221555757315e-10j),(-2.2122396863215412e-10-3.8641163157991413e-10j),(1.36773944832074e-10+2.0195968137320953e-10j),(2.7027804556175784e-10+5.659541485100911e-10j)
(-5.031371364869469e-13+4.871442591729431e-12j),(3.998827422695387e-13-1.7591800188887458e-11j),(1.9194097986550354e-11+4.565826611483348e-11j),(-1.9825573402775722e-11+3.7608436787559e-11j),(-8.27008104450384e-11-1.775737207615198e-10j),(-6.411148493839969e-11+3.864171044276642e-11j),(-8.598947506274675e-11+2.183153628859763e-10j),(-2.0434397310257873e-11+1.3208091707699584e-10j),(3.047703340545736e-10-2.3998863049858473e-10j),(-7.637609113917319e-11+2.2615460919371314e-10j),(1.7320023130326963e-10-1.1248283171236341e-11j),(6.607427465665122e-10+4.651873764280438e-10j),(-1.2147368680554743e-10-1.9718554905494677e-10j),(-1.9624291183942195e-10-3.483607454564742e-10j),(1.2189053537584208e-10+1.8267468850694394e-10j),(2.4186478351671766e-10+5.159968996781823e-10j)
(-8.397172731143642e-12+5.878750624833889e-12j),(-8.64466706828431e-13-1.8734956465031778e-11j),(-6.2989437131980176e-12+1.0223279597073425e-12j),(-1.5512726138066968e-11+2.880013157154851e-11j),(-4.6047081542764046e-11-1.0870985047348632e-10j),(-3.612589554031536e-11+1.9983434655654635e-11j),(-6.048366338491496e-11+1.417435946362069e-10j),(-1.6161988309479965e-11+8.496377218026022e-11j),(2.535992836034804e-10-2.0012246158587618e-10j),(-5.8061837041393396e-11+1.5806830895212137e-10j),(1.2426427667093763e-10-5.121612543325673e-12j),(5.726083104469764e-10+4.0349620329856264e-10j),(-8.81245849935857e-11-1.5067893072943775e-10j),(-1.4556120998895654e-10-2.708750724418677e-10j),(9.159735012866342e-11+1.4337363673149153e-10j),(1.845208320765808e-10+4.1325868621773194e-10j)
(-1.3324803226440144e-11+4.81175814654428e-12j),(-9.052090178565013e-13-1.469672453853611e-11j),(-3.0440830517590854e-11-4.3549395448485e-11j),(-9.172188781968653e-12+1.6159859979799395e-11j),(1.248234952945076e-12-1.7708128608285514e-11j),(-1.2611113475125296e-12-3.1718193182450025e-12j),(-2.5639835638288313e-11+3.936187639725214e-11j),(-1.0219387794228952e-11+2.3151605408732945e-11j),(1.813380670628357e-10-1.4265847235175514e-10j),(-3.254463879977054e-11+6.611747366822486e-11j),(5.7731824322066025e-11+2.9277303085932497e-12j),(4.4431344863403835e-10+3.1526097176570825e-10j),(-4.221852049451433e-11-8.57112415640767e-11j),(-7.554244720682589e-11-1.62611867154204e-10j),(4.958752756168392e-11+8.823209604716425e-11j),(1.0481823005727226e-10+2.683013745732825e-10j)
(-1.3365545537468214e-11+2.106909562571382e-12j),(-7.686310617832982e-14-6.815428517253116e-12j),(-4.632055670436254e-11-7.72089901561323e-11j),(-1.8189313544352859e-12+1.4593044478382586e-12j),(4.822113990675744e-11+7.706353402482015e-11j),(3.3811342713577647e-11-2.5591887411056025e-11j),(1.3449903404593126e-11-7.055881123622065e-11j),(-2.578076146785183e-12-4.270870522465952e-11j),(9.492902220827415e-11-7.209066132145665e-11j),(-3.0720310609359525e-12-3.5790052717898716e-11j),(-1.6938646214629987e-11+1.0770077896721796e-11j),(2.8441818148411494e-10+2.0694364704488582e-10j),(9.577574776697954e-12-9.925799917149065e-12j),(4.508136715255989e-12-3.566855549784784e-11j),(1.2940244457870715e-12+2.312924274473209e-11j),(1.2210227377434918e-11+9.576583583161002e-11j)
