0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(5.054234855248873e-09+4.2985926854590005e-09j),(-3.556518854539504e-08-1.0568190368765229e-07j),(1.0632957900686017e-09+5.8680031680412e-09j),(-1.876588166020998e-06-1.735133856083304e-06j),(5.484824530055493e-09-7.602331699807696e-09j),(5.621709208840376e-12-1.5644743387681807e-12j),(2.343123752405023e-10-2.0083235074847574e-10j),(-1.0132369515003327e-12-7.440154087920102e-12j),(-2.1102270988325393e-06+1.6661601917356519e-06j),(9.991474090149538e-12-3.4014356860688738e-12j),(-1.9083097992531155e-12+1.3049093318677054e-12j),(-9.130806299169282e-07+4.5444583000687845e-07j),(-4.834823919457468e-13-2.621372453429938e-12j),(5.744744907203204e-11-1.8351917931948473e-11j),(2.23906363337997e-12+2.1442009390459556e-12j),(1.723260502916849e-10+1.5894331089086864e-10j)
(6.7231293048052195e-09+5.649606183711974e-09j),(-4.6176100462334314e-08-1.4286829038879614e-07j),(1.4723919879123797e-09+8.538123614187965e-09j),(-2.954635086207619e-06-2.783097184733839e-06j),(9.577573925366082e-09-1.2763662018059688e-08j),(1.1168622831763548e-11-2.802858165763186e-12j),(5.147327630620525e-10-4.196349187030444e-10j),(-2.3553312433585828e-12-1.7904482223673037e-11j),(-7.121769918238857e-06+4.881487390093569e-06j),(5.3567868920868064e-11+2.8519009625454826e-12j),(-7.2011730695017194e-12+1.4884929691718017e-12j),(6.337558008413335e-06-7.644300532812547e-06j),(1.7813359308634881e-13+5.6069325199152695e-12j),(-1.9526877534462467e-11+3.172801390369037e-11j),(-3.678969876415312e-15-1.2648359244535286e-14j),(-5.839443416104717e-11-3.054341600819437e-11j)
(7.0070298765110194e-09+5.848356272665844e-09j),(-4.800340545625542e-08-1.5381381440631193e-07j),(1.6342481612087872e-09+9.795987130607944e-09j),(-3.5772805997787105e-06-3.409017660796965e-06j),(1.2440610795275666e-08-1.6050333447421e-08j),(1.5094235713447296e-11-3.1989251169625582e-12j),(7.448468559840801e-10-5.768905097642849e-10j),(-3.327278599055841e-12-2.7106285192911348e-11j),(-1.1494701623372457e-05+7.49624804286483e-06j),(9.101765393309536e-11+6.7173125189788e-12j),(-1.2323978997683998e-11+1.5733829187168558e-12j),(1.3271486063445095e-05-1.5106503830297474e-05j),(1.279567006314051e-12+1.3571324612869693e-11j),(-9.657216873344915e-11+7.86230828006133e-11j),(-2.1597073410044003e-12-2.3964992203227675e-12j),(-2.8634699545948715e-10-2.1586811820512677e-10j)
(5.84765670115146e-09+4.855214457973951e-09j),(-4.0802180759556594e-08-1.3662704994989778e-07j),(1.487308219252757e-09+9.421936716193948e-09j),(-3.6541317487576573e-06-3.528481997571218e-06j),(1.363069832192148e-08-1.7076605599187958e-08j),(1.701204318389996e-11-3.241263675251057e-12j),(8.958553737669092e-10-6.566156112687881e-10j),(-3.939355810478293e-12-3.376923409090642e-11j),(-1.4805492947933235e-05+9.230000643800617e-06j),(1.185318791163527e-10+6.4682371369325665e-12j),(-1.6802037853847063e-11+1.491898296660715e-12j),(1.963018814060316e-05-2.1329684749526312e-05j),(3.4215484015502685e-12+2.0109370963324984e-11j),(-1.6064778371555378e-10+1.161629873724579e-10j),(-4.114365319640661e-12-4.046441198120729e-12j),(-4.960018808281234e-10-4.336687141531473e-10j)
(3.475647379940568e-09+2.8841144180446014e-09j),(-2.5822228870397356e-08-9.447014386992293e-08j),(1.0430798429965221e-09+7.475076086175425e-09j),(-3.1766355899098955e-06-3.1308383832106153e-06j),(1.2923003041556669e-08-1.5794088326974528e-08j),(1.6852722504954372e-11-2.9480710593975624e-12j),(9.41082440288459e-10-6.60490934760591e-10j),(-3.811777648482932e-12-3.664412101400207e-11j),(-1.667952835635652e-05+9.978662802251177e-06j),(1.3404959162681415e-10+3.10389519672507e-12j),(-2.026344682984345e-11+1.1247918314719673e-12j),(2.4900828601674574e-05-2.5811364769949242e-05j),(6.3177262226290554e-12+2.524423996008964e-11j),(-2.0323030939486518e-10+1.4030651603117575e-10j),(-6.16592310816234e-12-4.8611049904238016e-12j),(-6.740098416538992e-10-6.967010741503697e-10j)
(3.6941162866106424e-10+3.4794195098475727e-10j),(-5.651966881386598e-09-3.4971897735206474e-08j),(3.978873115751646e-10+4.287461764467293e-09j),(-2.214859537931391e-06-2.2738835455724514e-06j),(1.0403954111751277e-08-1.2397997621648955e-08j),(1.4297632318719354e-11-2.1651801887544396e-12j),(8.695024260667906e-10-5.962908428968826e-10j),(-3.561121221531132e-12-3.5306800261570245e-11j),(-1.6863023386492068e-05+9.769673118221349e-06j),(1.3719809053270204e-10+1.1742298894806557e-13j),(-2.207658608707661e-11+6.786939304243189e-13j),(2.836568393187656e-05-2.8172781958408107e-05j),(9.335294847274685e-12+2.8576656955088573e-11j),(-2.2320796715567254e-10+1.505012456058198e-10j),(-7.740674238816706e-12-4.934441150274328e-12j),(-8.086255385710354e-10-9.8015167895581e-10j)
(-2.830304375610794e-09-2.239059802386545e-09j),(1.599152564222833e-08+3.101423950566366e-08j),(-3.078798541225973e-10+3.9969909782281513e-10j),(-9.083015667756757e-07-1.0775787159332753e-06j),(6.470726552945801e-09-7.282066274346694e-09j),(9.719412747553138e-12-1.2209619283240469e-12j),(6.911199096219442e-10-4.699698548391253e-10j),(-2.5862550137005192e-12-2.9565235687004004e-11j),(-1.529702980063407e-05+8.67912205816433e-06j),(1.2895142111468447e-10+5.674735022596313e-13j),(-2.1595674793396768e-11+1.8242825833464354e-13j),(2.9343867352583836e-05-2.8189335581148584e-05j),(1.1486367250717912e-11+2.9566087018876233e-11j),(-2.2466909588609416e-10+1.4945258716749282e-10j),(-8.901799698406989e-12-4.692845326819816e-12j),(-8.896837649780287e-10-1.2272296235968277e-09j)
(-5.454794406356832e-09-4.363584759201559e-09j),(3.486937974305854e-08+9.130079864371746e-08j),(-9.509077222352657e-10-3.5443105791444333e-09j),(5.484062211923589e-07+2.8426604507322027e-07j),(1.7255599503037376e-09-1.0631083070272756e-09j),(4.107676283501724e-12-7.184252848541181e-14j),(4.3468488515913584e-10-2.8712918702180665e-10j),(-1.3851625631800873e-12-2.028450209132624e-11j),(-1.2153320496311846e-05+6.778461477060184e-06j),(1.0995121396203412e-10+4.4442564201291416e-12j),(-1.877499946773623e-11-3.6826184415820045e-13j),(2.7493437217482937e-05-2.5827485117062856e-05j),(1.1740778659320435e-11+2.8154213918204986e-11j),(-2.144120670612288e-10+1.4081777122515859e-10j),(-9.43699860129625e-12-4.288037021575242e-12j),(-9.093490447511477e-10-1.3684622176784957e-09j)
(-6.956064772361232e-09-5.60217175046693e-09j),(4.719667872221126e-08+1.3470543580978785e-07j),(-1.445976300093749e-09-6.902593955273797e-09j),(1.9298757967390653e-06+1.6037447348126272e-06j),(-3.171848628385175e-09+5.410346855783146e-09j),(-1.7814727520572392e-12+1.305304593094097e-12j),(1.367273648167792e-10-6.019226464693509e-11j),(2.470382664948298e-14-9.262551579263747e-12j),(-7.807946535169813e-06+4.1517533178436446e-06j),(8.120587167740545e-11+9.558328595443649e-12j),(-1.4055580424619004e-11-1.3011999572815677e-12j),(2.2998498154295137e-05-2.1270935775470653e-05j),(9.862740549184724e-12+2.4438150295928294e-11j),(-1.9718050187313283e-10+1.2689904239900029e-10j),(-9.455439057742909e-12-4.25027437209997e-12j),(-8.63048448738718e-10-1.3528636514437047e-09j)
(-7.024579961438168e-09-5.7003543958649574e-09j),(5.055227240650445e-08+1.5327456681227602e-07j),(-1.7261114309286832e-09-9.12589408446991e-09j),(3.0174615930743244e-06+2.6748858660562673e-06j),(-7.611621205162129e-09+1.1161729293547017e-08j),(-7.649338490810494e-12+2.63958487455368e-12j),(-1.6853342761032708e-10+1.8447510339315826e-10j),(1.7943567478021233e-12+2.1124584220957276e-12j),(-2.759394665200712e-06+9.66344219935065e-07j),(4.386613651201852e-11+1.2903758806203787e-11j),(-8.261962987007949e-12-2.026230665322886e-12j),(1.6529437298758867e-05-1.4915035121315241e-05j),(6.667965675099279e-12+1.887299384717166e-11j),(-1.730750399109875e-10+1.0845055910897335e-10j),(-8.943469353081593e-12-4.624191492266545e-12j),(-7.542766334668173e-10-1.1717014490224924e-09j)
