0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-9.531085975532342e-12-5.104342668203327e-12j),(3.214556178230865e-11-2.8691556353129678e-12j),(1.9343518131892572e-11+2.7410697146652422e-11j),(-4.108410557241521e-11+1.2703136369571234e-10j),(-8.44003729091034e-11+1.339624213240399e-10j),(3.693393870707637e-11+3.5905529805424542e-12j),(-4.614930217685089e-11-1.0997067297625648e-10j),(-4.67354441708801e-11+4.40343429673805e-12j),(6.94017904124429e-13+9.146952872899028e-13j),(-3.4137799982161845e-11+3.802449483540087e-11j),(2.1348484503353326e-11-1.5925135620742155e-11j),(1.4722690160639073e-11-1.9164088538054303e-12j),(1.5217946776424836e-12-1.7827011023300258e-11j),(1.7267260317310125e-11+9.93406999819357e-12j),(-7.312530318860158e-12-1.0666397836568274e-11j),(7.539942345229153e-12-4.7594012364022384e-11j)
(-1.0208624526987209e-11-5.577804808001171e-12j),(4.95497041027892e-11-7.480835589528728e-12j),(-1.3363968293151364e-11-1.8247933824697724e-11j),(-7.670408954648146e-12+4.338958829418385e-11j),(-1.9625632031640954e-11+4.146655121365893e-11j),(-3.3524232939962996e-13-2.731315883786283e-12j),(-9.594266962335574e-12-2.136234905098676e-12j),(1.1427670958598742e-11+4.472243955428648e-12j),(-1.1362848117470498e-11-1.260554181206866e-11j),(3.724497888753694e-11-2.012925564348346e-11j),(-3.3697965451317024e-11+8.42417211337717e-12j),(2.3970981931042997e-11-8.425266682927178e-12j),(-4.820516983297573e-11+3.761135563969235e-11j),(6.157023649626581e-11-1.0621611699147118e-10j),(-6.63808544661955e-11+2.3890865520924364e-11j),(-7.093123852561083e-11-1.9422042095339492e-10j)
(-6.9506382613888094e-12-4.388007707142626e-12j),(5.244763779585446e-11-1.001056824785523e-11j),(-4.291018203363527e-11-5.917851081536947e-11j),(2.711032901930443e-11-4.985946728544143e-11j),(4.8801018530583826e-11-5.992494643905538e-11j),(-3.710554288874983e-11-8.531014263341826e-12j),(2.8686843623122697e-11+1.0597196717239999e-10j),(6.72521166256469e-11+3.9484620210401635e-12j),(-2.226269331528767e-11-2.4942176770174623e-11j),(1.0336415521950626e-10-7.482976081093188e-11j),(-8.430113193656935e-11+3.120195161607271e-11j),(3.13077600059068e-11-1.41509599990183e-11j),(-9.237438999297933e-11+8.827350726180622e-11j),(9.940728629622785e-11-2.0966236492722803e-10j),(-1.1825258145284237e-10+5.544043418325373e-11j),(-1.4090571684803075e-10-3.214891846226201e-10j)
(-7.939277802723687e-13-2.279076231374702e-12j),(4.0071947988110025e-11-9.278726884836086e-12j),(-6.130476537450176e-11-8.470423757806947e-11j),(5.646464723496387e-11-1.3187969870805273e-10j),(1.0742725819855489e-10-1.4849781847278875e-10j),(-6.640400765264914e-11-1.3095186858616273e-11j),(6.124779454965933e-11+1.9510343453315402e-10j),(1.1182572512584203e-10+3.5001160717674125e-12j),(-3.0478167501130006e-11-3.4607586952671996e-11j),(1.5492136068642932e-10-1.1781466241871006e-10j),(-1.232194036189711e-10+4.932781053123483e-11j),(3.669580902053022e-11-1.838451178077093e-11j),(-1.25940324892621e-10+1.270704641524154e-10j),(1.2736426486246335e-10-2.8833984175353477e-10j),(-1.572902220256144e-10+7.960658394600508e-11j),(-1.9386091566563677e-10-4.162421179545367e-10j)
(5.807907651180602e-12-7.869118935039156e-15j),(1.6091023716987788e-11-5.65278282217671e-12j),(-6.359544100263557e-11-8.872921305112615e-11j),(7.488230014933226e-11-1.8440529417963553e-10j),(1.4429454978191968e-10-2.0504638270658654e-10j),(-8.259682633778766e-11-1.5500685873016884e-11j),(8.149617584583532e-11+2.499980433674705e-10j),(1.3760904058931055e-10+3.019777716836402e-12j),(-3.478858238906097e-11-3.995499627216265e-11j),(1.8474205674452128e-10-1.4295941816858786e-10j),(-1.4563126244015706e-10+5.946893660263822e-11j),(3.972019590133111e-11-2.0899893416108438e-11j),(-1.4497222135397956e-10+1.4923701777556071e-10j),(1.4284543091183843e-10-3.3289082914969643e-10j),(-1.7903962303136783e-10+9.346967215337131e-11j),(-2.2369456413007048e-10-4.696209911997701e-10j)
(1.0403640335146942e-11+1.9721710914363864e-12j),(-1.2913853169831638e-11-2.2098143026269822e-13j),(-4.929509316327913e-11-7.03141749417939e-11j),(7.859200918727696e-11-1.9578079065635057e-10j),(1.5226332015307412e-10-2.174530853182479e-10j),(-8.202454889139188e-11-1.559445399780089e-11j),(8.576755108648266e-11+2.608396331414595e-10j),(1.402302914239016e-10+2.8589705326295393e-12j),(-3.475696149094963e-11-4.071280325728476e-11j),(1.8863081911802144e-10-1.4599095015617353e-10j),(-1.4829970138423733e-10+6.012431012070543e-11j),(3.997212932609125e-11-2.14854273159432e-11j),(-1.4720254743390307e-10+1.5226927947617971e-10j),(1.4440111828949683e-10-3.383216575908993e-10j),(-1.8148519545318262e-10+9.548732869055247e-11j),(-2.2711787600478465e-10-4.760609519566608e-10j)
(1.1426698007887623e-11+2.945912325007269e-12j),(-3.8117290009473764e-11+4.83404479877083e-12j),(-2.210904026426378e-11-3.382913136905963e-11j),(6.70159632452327e-11-1.6357514916763038e-10j),(1.2967766801111468e-10-1.8314216091892645e-10j),(-6.514774585633735e-11-1.323006215094502e-11j),(7.27280656560779e-11+2.2551154958308353e-10j),(1.1909050484808308e-10+3.4882040765864677e-12j),(-3.0653663485647935e-11-3.660986250732231e-11j),(1.6629752606675825e-10-1.2656605001812013e-10j),(-1.3096573313379615e-10+5.19485444857606e-11j),(3.7760065074944805e-11-2.004181169832172e-11j),(-1.327314562462172e-10+1.3553586505217622e-10j),(1.3209599781301817e-10-3.0360732350298055e-10j),(-1.640741360612402e-10+8.48511531354483e-11j),(-2.035121610539922e-10-4.351483137447253e-10j)
(8.78981915249924e-12+2.5925487886130644e-12j),(-5.225037203917527e-11+8.395530876818632e-12j),(1.084204014375174e-11+1.1528614594877244e-11j),(4.249337907040519e-11-9.471991381715807e-11j),(8.07771044608996e-11-1.0946565074776674e-10j),(-3.52526798782643e-11-8.644819091832921e-12j),(4.545552751040424e-11+1.5030799327082397e-10j),(7.794922321903484e-11+4.32625574169635e-12j),(-2.2814964462686083e-11-2.8340636595279414e-11j),(1.2040629906603144e-10-8.776781612970258e-11j),(-9.55647390815058e-11+3.562106334126139e-11j),(3.3137302604035215e-11-1.654387146359382e-11j),(-1.0289590938772017e-10+1.010381341163201e-10j),(1.0694604285777782e-10-2.3313802373218273e-10j),(-1.2871031176658552e-10+6.329640308133794e-11j),(-1.5549867011228416e-10-3.509406458858427e-10j)
(2.8466713524732228e-12+1.0760834864966174e-12j),(-5.165310192138764e-11+9.18149262314372e-12j),(4.0416205313942353e-11+5.394075228090407e-11j),(9.511611758955118e-12-5.126963772236822e-12j),(1.5810935531024668e-11-1.229134714297439e-11j),(1.9308814956333123e-12-2.7315591214640626e-12j),(8.965984040631061e-12+4.849162020444827e-11j),(2.368539049262011e-11+4.789235857817383e-12j),(-1.2327528747544094e-11-1.6704271509734554e-11j),(5.759880371703035e-11-3.5305219216664676e-11j),(-4.73294305800177e-11+1.3147270126370814e-11j),(2.6331877236280784e-11-1.1355672605976002e-11j),(-6.102087850011768e-11+5.327045005036315e-11j),(7.101062522269611e-11-1.3513896197145947e-10j),(-7.935416404588937e-11+3.349936188741004e-11j),(-8.909715564583226e-11-2.3169167169068627e-10j)
(-4.548278533267041e-12-8.77723160267415e-13j),(-3.6370478626500105e-11+6.7082519154815124e-12j),(5.907480795168366e-11+8.328579706009816e-11j),(-2.5548712723250162e-11+8.589671029338359e-11j),(-5.259297230832773e-11+8.776611346595812e-11j),(3.870543871434465e-11+3.771156956293752e-12j),(-2.935592966527473e-11-6.185436850862202e-11j),(-3.4838020447069653e-11+4.5981156530908364e-12j),(-3.890586656083498e-13-3.1085167126028813e-12j),(-1.316840139962791e-11+2.2770269539394095e-11j),(7.47165336719255e-12-1.130355893351174e-11j),(1.747176239490326e-11-5.069863727378079e-12j),(-1.2314367308822991e-11-1.533795986658238e-12j),(2.8141261511863224e-11-2.0920386190461364e-11j),(-2.161099876709688e-11-7.010717967800352e-13j),(-1.1787677924067299e-11-8.884353475968253e-11j)
