0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.02
(-3.338437127523977e-14+3.7580221216936574e-13j),(3.260601070634529e-13-3.894265625959913e-12j),(-2.2245909915520885e-12+2.2245301821326436e-12j),(5.640560128868289e-12-4.720963906418226e-10j),(-6.335125317767721e-13+3.1281049468415635e-12j),(2.536908169820998e-11-5.652749376996015e-11j),(1.3093548044762234e-10-1.2590651105482094e-11j),(8.369917949348447e-11+2.2728706301203517e-11j),(-8.038518775257734e-11-3.932635761535439e-10j),(4.3210230911531175e-11+1.0908236897700566e-10j),(7.893500471765581e-11-5.686820894710982e-14j),(-3.9141493027629685e-09+1.9782263109964495e-09j),(-5.730083756175043e-11+5.3758354427279154e-11j),(1.065593253548181e-10-3.4188940703914994e-11j),(-1.3663633311587023e-11+5.637428443766878e-11j),(9.538492562820728e-11+5.27536535980334e-11j)
(-2.772909526686582e-14+8.26035153739266e-13j),(5.393795504760961e-13-1.007321715223832e-11j),(-2.5053480811291047e-12+2.5064426506791127e-12j),(6.499955330115016e-11-9.959194017931417e-10j),(-1.502114279127455e-12+7.165873201513966e-12j),(3.456443886898713e-11-6.989696151498256e-11j),(1.8743147493831003e-10-1.0327385323163061e-11j),(1.1658266358075675e-10+3.6715146415913695e-11j),(3.6388306732092956e-09-5.169316620738891e-10j),(6.084794221209952e-11+1.7772051470005974e-10j),(1.3102721145685494e-10+6.83316966537616e-12j),(3.0986173647831905e-09-1.7042793899219042e-09j),(-1.163957354253832e-10+9.124350011691365e-11j),(2.2812787485469956e-10-4.7045693828887884e-11j),(-4.278167652799337e-11+1.1728993793832016e-10j),(2.1460921119906912e-10+1.7896672013863084e-10j)
(1.2028103166197498e-13+1.4211161324268733e-12j),(5.602979907651352e-13-1.4764086172926178e-11j),(-2.949925746690631e-12+2.5833057568574426e-12j),(1.1695901307770113e-10-1.3983225120704124e-09j),(-2.222097805354848e-12+1.0184817639274537e-11j),(3.7298065510712326e-11-6.872838690151028e-11j),(2.1090932288236476e-10-4.043704774245709e-12j),(1.2918419957231948e-10+4.573959871334101e-11j),(7.024230672132876e-09-5.79086398709859e-10j),(6.771542359239746e-11+2.2061207384899e-10j),(1.6443657540348655e-10+1.387228563205727e-11j),(9.721443964590857e-09-5.353362531249607e-09j),(-1.620002460134274e-10+1.1623525936746815e-10j),(3.234366062803424e-10-5.25612297913775e-11j),(-6.786680864210548e-11+1.640724485998506e-10j),(3.096155373818126e-10+2.8797967516334017e-10j)
(3.73476251875599e-13+1.6170440818782805e-12j),(1.057840660663153e-12-1.6989574103415077e-11j),(-2.972486041304682e-12+2.230489505238242e-12j),(1.5372523940594852e-10-1.6281456927298158e-09j),(-2.8407728387870694e-12+1.2195268260251477e-11j),(3.338108756658975e-11-5.363855987097274e-11j),(1.9737898381820093e-10+4.8997189717713015e-12j),(1.1967713331746787e-10+4.814217127443083e-11j),(9.827927764646725e-09-5.795897790840237e-10j),(6.288974008880029e-11+2.3162490294813577e-10j),(1.7457022191629822e-10+2.0335285557740147e-11j),(1.559763305344005e-08-8.64173447322216e-09j),(-1.880258262039643e-10+1.2538014472010605e-10j),(3.810399707038311e-10-4.931637836037919e-11j),(-8.617993016444812e-11+1.9158506233349264e-10j),(3.698163761568894e-10+3.6901923307856386e-10j)
(9.099369502183409e-13+1.0468949651630745e-12j),(1.1384739508470656e-12-1.6593643973409456e-11j),(-2.746396619808614e-12+1.8769435405857027e-12j),(1.729990281366814e-10-1.6560956478081053e-09j),(-3.1386173752280974e-12+1.240522798323979e-11j),(2.3283561848928335e-11-2.706359698046104e-11j),(1.490616434098817e-10+1.521670588420929e-11j),(8.895980236966115e-11+4.3306414310443755e-11j),(1.185059822088937e-08-5.214834599523065e-10j),(4.661419018850701e-11+2.0874201436392975e-10j),(1.5980441787727272e-10+2.5379616930128806e-11j),(2.0445536273295304e-08-1.1261535428825384e-08j),(-1.9147122710029183e-10+1.1719443674508197e-10j),(3.9413363732696124e-10-3.7285842817403905e-11j),(-9.620551833890623e-11+1.9639849273907166e-10j),(3.8835674247969753e-10+4.138379111402993e-10j)
(9.168236169704736e-13+3.318978113301615e-13j),(1.096272213752318e-12-1.3678653238189907e-11j),(-2.015953873436701e-12+1.2116276824392576e-12j),(1.7572937106975656e-10-1.4789332419597107e-09j),(-3.191399951306254e-12+1.1106810056897826e-11j),(8.79304205172982e-12+5.014587965102682e-12j),(7.430959703700036e-11+2.4282903848085513e-11j),(4.2604295451472656e-11+3.167357427093234e-11j),(1.2942926578934172e-08-4.066549656942762e-10j),(2.176214057912713e-11+1.55311149065071e-10j),(1.221354757173661e-10+2.8220328959496432e-11j),(2.4038404770113733e-08-1.2969725472511789e-08j),(-1.7145221893426195e-10+9.259930693285672e-11j),(3.6115875668226333e-10-1.8129355456780206e-11j),(-9.656961473783246e-11+1.7794611764620026e-10j),(3.631054486269523e-10+4.1761087717682157e-10j)
(7.497193323359401e-13-3.098848014911145e-13j),(8.684801285117931e-13-9.055373887215037e-12j),(-1.2949365870787447e-12+5.951417881070522e-13j),(1.6499802877322114e-10-1.1200715610969777e-09j),(-2.988418109199241e-12+8.563000017969834e-12j),(-7.521517091137353e-12+3.61733344886598e-11j),(-1.3855973505291182e-11+2.982410138558087e-11j),(-1.131839643185629e-11+1.51896912996209e-11j),(1.3013348447357801e-08-2.373423261831824e-10j),(-7.828270207527056e-12+7.879356200802702e-11j),(6.68583756347413e-11+2.803093802263535e-11j),(2.6189643958592143e-08-1.3621865206462336e-08j),(-1.3043985327443684e-10+5.501473784242984e-11j),(2.8590357317289505e-10+5.7655538905372424e-12j),(-8.721630510004723e-11+1.3812665036762536e-10j),(2.9662907776516377e-10+3.798331773702377e-10j)
(6.788155492632086e-13-1.0125984525961615e-12j),(5.735544442041193e-13-3.0868077498610585e-12j),(-3.663767521554091e-13-3.534851552330943e-13j),(1.4270724150614995e-10-6.258765713582396e-10j),(-2.4455724218147866e-12+5.132315001147972e-12j),(-2.30155139280153e-11+5.986456268554662e-11j),(-1.0002273843042948e-10+2.978791978101116e-11j),(-6.345535890376685e-11-4.0325462457775734e-12j),(1.2033333992458148e-08-1.8036012997932316e-11j),(-3.677534774116413e-11-9.184046618760405e-12j),(1.6540162089007682e-12+2.4445964306326963e-11j),(2.675221869962836e-08-1.3190058370316107e-08j),(-7.34264010289829e-11+9.514363385185e-12j),(1.769430054630375e-10+3.10134728205033e-11j),(-6.871938710743243e-11+8.210560784751192e-11j),(1.9639356717609662e-10+3.040095778126084e-10j)
(5.049614190702934e-13-1.432548303282511e-12j),(1.476452704121715e-13+3.2668948455470743e-12j),(3.1268203478557905e-13-8.45494167961628e-13j),(1.0861127840456617e-10-5.7685761186836525e-11j),(-1.4747500403772585e-12+1.0734078720410426e-12j),(-3.418656913655664e-11+7.163690143355895e-11j),(-1.6850393504189633e-10+2.3676877173897827e-11j),(-1.0482558799702508e-10-2.3152319919411422e-11j),(1.0050338216266377e-08+2.397618113640553e-10j),(-6.035924731273072e-11-9.637630159341719e-11j),(-6.390242975552562e-11+1.7367535049974736e-11j),(2.5635243348937723e-08-1.1755979919612105e-08j),(-7.0614330236173824e-12-3.787234966794978e-11j),(4.7056761143226854e-11+5.382147460466294e-11j),(-4.3058496207661336e-11+1.6260925234916788e-11j),(7.354558749109488e-11+1.9741978693864844e-10j)
(-1.2417283450644739e-13-1.1188933177858138e-12j),(-4.0134216833621584e-15+9.204113727177215e-12j),(1.2024454601030806e-12-1.4312104960547235e-12j),(6.218225289826882e-11+5.153096012149066e-10j),(-3.471609756108267e-13-3.2609659271511984e-12j),(-3.962463389867348e-11+6.852005383049211e-11j),(-2.0778256334392843e-10+1.1361631929081601e-11j),(-1.2792690401587713e-10-3.9527217208722776e-11j),(7.196973692613695e-09+5.151359903223914e-10j),(-7.397709873265318e-11-1.6995521264636785e-10j),(-1.2049502000900153e-10+7.427627347514457e-12j),(2.283184749488604e-08-9.488158964491876e-09j),(6.071942150410275e-11-8.07031830103869e-11j),(-8.879239403792938e-11+7.035750165314837e-11j),(-1.2613241804805867e-11-5.186605650828362e-11j),(-5.827202479970462e-11+7.031095204256331e-11j)
